Comment,Designator,Footprint,LCSC
100Ω@100MHz,"FB3,FB4",L_0805_2012Metric,C1015
1k,"R12,R14,R4,R6,R7,R8,R9",C_0402_1005Metric,C11702
2.2uF,"C18,C19",C_0402_1005Metric,C12530
PCM5100,U10,TSSOP-20_4.4x6.5mm_P0.65mm,C131154
AO3401A,Q1,SOT-23,C15127
0.1uF,"C14,C15,C16,C2,C20,C23,C26,C27,C28,C3,C30,C32,C33,C34,C35,C36,C37,C4,C45,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
SN74CB3T3245,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C15298
1KΩ@100MHz,"FB1,FB2",L_0805_2012Metric,C155073
1uF,C10,C_0603_1608Metric,C15849
10u,"C12,C13,C17",C_0805_2012Metric,C15850
2.2nF,"C21,C22",C_0603_1608Metric,C1604
30pF,"C24,C25",C_0603_1608Metric,C1658
D_Schottky,D2,D_SOD-323_HandSoldering,C191023
RP2040,U12,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040
USB_A - joy,J5,USB-A_902-131A1011D10100,C2345
27,"R15,R16",C_0402_1005Metric,C25100
470,"R10,R11,R13",R_0402_1005Metric,C25117
10K,"R1,R5",R_0402_1005Metric,C25744
15K,"R17,R18",R_0402_1005Metric,C25756
APS6404L-3SQR-SN,U8,SOIC-8_3.9x4.9mm_P1.27mm,C261881
3.5mm TRS,J7,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,C2910528
Wavetable,J8,Wavetable,C358701
USB_B_Micro - program,J6,USB-microB_U254-051T-4BH83-F1S,C397452
2.2uF,"C39,C40,C41,C42,C43,C44",CP_Elec_4x5.4,C445039
IRQDMA_JP,J3,PinHeader_2x09_P2.54mm_Vertical,C492426
220,"R2,R3",R_0805_2012Metric,C5120092
1u,"C29,C31",C_0402_1005Metric,C52923
SW_Push,SW1,SW_SPST_TL3305A,C5342982
SN74CB3T3257,"U1,U2",TSSOP-16_4.4x5mm_P0.65mm,C544573
74LVC2G06,U6,SOT-363_SC-70-6,C548560
AMS1117-3.3_SOT223,U9,SOT-223-3_TabPin2,C6186
M62429L,U13,SOIC-8_3.9x4.9mm_P1.27mm,C668666
3.5mm TRS,J9,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,C692438
LED,D1,LED_0603_1608Metric,C72038
74AHC14,U3,TSSOP-14_4.4x5mm_P0.65mm,C7460
Polyfuse,F1,Fuse_1206_3216Metric,C75464
74LVC00,"U4,U5",TSSOP-14_4.4x5mm_P0.65mm,C7803
W25Q128JVS,U11,SOIC-8_5.23x5.23mm_P1.27mm,C82317
ABLS-12.000MHZ-B4-T,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
47uF,"C1,C11,C38",C_1206_3216Metric,C96123
