Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,191.5,-122.3,180.0,top
C2,0.1uF,C_0402_1005Metric,192.6,-119.0,180.0,top
C3,0.1uF,C_0402_1005Metric,178.1,-92.9,-90.0,top
C4,0.1uF,C_0402_1005Metric,177.1,-113.1,180.0,top
C5,0.1uF,C_0402_1005Metric,196.0,-102.5,-90.0,top
C6,0.1uF,C_0402_1005Metric,165.9,-103.7,180.0,top
C7,0.1uF,C_0402_1005Metric,165.8,-94.4,180.0,top
C8,0.1uF,C_0402_1005Metric,165.8,-113.3,180.0,top
C9,0.1uF,C_0402_1005Metric,178.1,-102.2,-90.0,top
C10,1uF,C_0603_1608Metric,197.4,-94.5,90.0,top
C11,47uF,C_1206_3216Metric,214.0,-92.9,180.0,top
C12,10u,C_0805_2012Metric,205.7,-99.5,90.0,top
C13,10u,C_0805_2012Metric,205.7,-95.9,90.0,top
C14,0.1uF,C_0402_1005Metric,184.425,-71.675,90.0,top
C15,0.1uF,C_0402_1005Metric,185.225,-64.075,90.0,top
C16,0.1uF,C_0402_1005Metric,178.325,-61.475,0.0,top
C17,10uF,C_0805_2012Metric,176.525,-63.9,90.0,top
C18,2.2uF,C_0402_1005Metric,183.325,-62.175,180.0,top
C19,2.2uF,C_0402_1005Metric,181.825,-61.975,90.0,top
C20,0.1uF,C_0402_1005Metric,182.3,-71.275,180.0,top
C21,2.2nF,C_0603_1608Metric,183.9,-60.9,0.0,top
C22,2.2nF,C_0603_1608Metric,179.0,-60.2,0.0,top
C23,100nF,C_0402_1005Metric,181.4,-58.8,180.0,top
C24,30pF,C_0603_1608Metric,182.2,-103.95,0.0,top
C25,30pF,C_0603_1608Metric,182.7,-109.7,180.0,top
C26,100n,C_0402_1005Metric,202.0,-106.1,180.0,top
C27,100n,C_0402_1005Metric,186.2,-109.5,180.0,top
C28,100n,C_0402_1005Metric,197.5,-111.3,0.0,top
C29,1u,C_0402_1005Metric,199.0,-107.2,0.0,top
C30,100n,C_0402_1005Metric,186.3,-108.4,180.0,top
C31,1u,C_0402_1005Metric,197.5,-112.3,0.0,top
C32,100n,C_0402_1005Metric,195.0,-103.0,90.0,top
C33,100n,C_0402_1005Metric,194.7,-113.6,-90.0,top
C34,100n,C_0402_1005Metric,195.7,-113.6,-90.0,top
C35,100n,C_0402_1005Metric,189.9,-102.8,180.0,top
C36,100n,C_0402_1005Metric,191.3,-113.7,-90.0,top
C37,100n,C_0402_1005Metric,199.0,-108.2,0.0,top
C38,100uF,C_1206_3216Metric,188.5,-51.1,0.0,top
C39,2.2uF,CP_Elec_4x5.4,176.895,-51.9,0.0,top
C40,2.2uF,CP_Elec_4x5.4,176.895,-57.0,0.0,top
C41,2.2uF,CP_Elec_4x5.4,190.2,-61.4,0.0,top
C42,2.2uF,CP_Elec_4x5.4,190.2,-56.3,0.0,top
C43,2.2uF,CP_Elec_4x5.4,197.1,-61.4,0.0,top
C44,2.2uF,CP_Elec_4x5.4,197.1,-56.3,0.0,top
C45,0.1uF,C_0402_1005Metric,187.2488,-113.3,-90.0,top
D1,LED,LED_0603_1608Metric,174.9,-44.5,0.0,top
D2,D_Schottky,D_SOD-323_HandSoldering,203.4,-115.1,-90.0,top
F1,Polyfuse,Fuse_1206_3216Metric,208.1,-121.2,0.0,top
