Comment,Designator,Footprint,LCSC
1K,R8,R_0402_1005Metric,C11702
2.2uF,"C11,C12",C_0402_1005Metric,C12530
PCM5100,U10,TSSOP-20_4.4x6.5mm_P0.65mm,C131154
74AHC14,U5,TSSOP-14_4.4x5mm_P0.65mm,C138310
0.1uF,"C13,C14,C15,C16,C20,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
SN74CB3T3245,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C15298
2.2nF,"C18,C19",C_0402_1005Metric,C1531
33,R4,R_0805_2012Metric,C161967
10uF,C17,C_0603_1608Metric,C19702
470,"R5,R6",R_0402_1005Metric,C25117
10K,"R1,R2,R7",R_0402_1005Metric,C25744
APS6404L-3SQN-SN,U8,SOIC-8_3.9x4.9mm_P1.27mm,C3028887
1K @ 100MHz,"FB1,FB2",L_0603_1608Metric,C50069
1uF,C10,C_0402_1005Metric,C52923
SN74CB3T3257,"U3,U4",TSSOP-16_4.4x5mm_P0.65mm,C544573
AudioJack3,J5,PJ-231F-4A,C707219
10,R3,R_0805_2012Metric,C728003
74LVC00,U6,TSSOP-14_4.4x5mm_P0.65mm,C7803
74LVC1G00,U7,SOT-23-5,C7826
74LVC1G06,U9,SOT-23-5,C840103
1A 20V Schottky,D1,D_SOD-123,C8598
AudioJack3,J1,PJ-321A,C879743
47uF,"C1,C2",C_1206_3216Metric,C96123
Bus_ISA_8bit,J3,EDGE-60,
