Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,138.675,-85.8,180.0,top
C2,47uF,C_1206_3216Metric,130.6,-66.0,180.0,top
C3,0.1uF,C_0402_1005Metric,139.192,-88.011,0.0,top
C4,0.1uF,C_0402_1005Metric,137.033,-111.76,180.0,top
C5,0.1uF,C_0402_1005Metric,139.192,-96.139,0.0,top
C6,0.1uF,C_0402_1005Metric,140.8,-81.3,-90.0,top
C7,0.1uF,C_0402_1005Metric,133.967,-78.568,0.0,top
C8,0.1uF,C_0402_1005Metric,127.889,-70.358,-90.0,top
C9,0.1uF,C_0402_1005Metric,139.065,-104.394,0.0,top
C10,1uF,C_0402_1005Metric,134.62,-70.866,-90.0,top
C11,2.2uF,C_0402_1005Metric,126.492,-131.826,0.0,top
C12,2.2uF,C_0402_1005Metric,124.333,-131.826,0.0,top
C13,0.1uF,C_0402_1005Metric,125.05,-122.45,0.0,top
C14,0.1uF,C_0402_1005Metric,123.059,-122.301,-90.0,top
C15,0.1uF,C_0402_1005Metric,121.92,-128.637,-90.0,top
C16,0.1uF,C_0402_1005Metric,129.54,-131.826,180.0,top
C17,10uF,C_0603_1608Metric,131.318,-130.175,0.0,top
C18,2.2nF,C_0402_1005Metric,130.679,-128.524,0.0,top
C19,2.2nF,C_0402_1005Metric,130.171,-123.982,-90.0,top
C20,0.1uF,C_0402_1005Metric,140.7945,-77.6745,-90.0,top
D1,1A 20V Schottky,D_SOD-123,137.935,-70.186,180.0,top
FB1,1K @ 100MHz,L_0603_1608Metric,132.8895,-61.127,0.0,top
FB2,1K @ 100MHz,L_0603_1608Metric,132.852,-63.327,0.0,top
J1,AudioJack3,PJ-321A,137.995,-127.889,0.0,top
J5,AudioJack3,PJ-231F-4A,139.875,-63.7,-90.0,top
R1,10K,R_0402_1005Metric,131.445,-86.614,0.0,top
R2,10K,R_0402_1005Metric,138.811,-98.298,90.0,top
R3,10,R_0805_2012Metric,129.5875,-61.0,0.0,top
R4,33,R_0805_2012Metric,129.55,-63.2,180.0,top
R5,470,R_0402_1005Metric,130.171,-125.986,90.0,top
R6,470,R_0402_1005Metric,130.679,-127.508,0.0,top
R7,10K,R_0402_1005Metric,139.192,-91.059,0.0,top
R8,1K,R_0402_1005Metric,139.194,-92.16,0.0,top
U2,SN74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,134.1805,-115.775,0.0,top
U3,SN74CB3T3257,TSSOP-16_4.4x5mm_P0.65mm,134.1805,-106.762,0.0,top
U4,SN74CB3T3257,TSSOP-16_4.4x5mm_P0.65mm,134.249,-98.38,0.0,top
U5,74AHC14,TSSOP-14_4.4x5mm_P0.65mm,134.1805,-89.998,0.0,top
U6,74LVC00,TSSOP-14_4.4x5mm_P0.65mm,131.201,-81.87,0.0,top
U7,74LVC1G00,SOT-23-5,138.0005,-78.1545,0.0,top
U8,APS6404L-3SQN-SN,SOIC-8_3.9x4.9mm_P1.27mm,131.201,-73.316,90.0,top
U9,74LVC1G06,SOT-23-5,138.1375,-82.05,0.0,top
U10,PCM5100,TSSOP-20_4.4x6.5mm_P0.65mm,125.984,-127.254,90.0,top
