Comment,Designator,Footprint,LCSC
Bus_ISA_8bit,J3,BUS_PC,
1uF,C10,C_0805_2012Metric,
10,R3,R_0805_2012Metric,
SN74CB3T3257,U3,TSSOP-16_4.4x5mm_P0.65mm,
UART_TX,J6,PinHeader_1x02_P2.54mm_Vertical,
74LVC00,U6,SOIC-14_3.9x8.7mm_P1.27mm,
APS6404L-3SQR-SN,U8,SOIC-8_3.9x4.9mm_P1.27mm,
0.1uF,C3,C_0805_2012Metric,
47uF,C2,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C9,C_0805_2012Metric,
SJ1-3535NG,J5,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,
0.1uF,C7,C_0805_2012Metric,
SN74CB3T3257,U4,TSSOP-16_4.4x5mm_P0.65mm,
74LVC1G00,U7,SOT-23-5,
74LVC14,U5,SOIC-14_3.9x8.7mm_P1.27mm,
Pico,U1,RPi_Pico_SMD_TH,
0.1uF,C4,C_0805_2012Metric,
1K @ 100MHz,L1,L_0805_2012Metric,
47uF,C1,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C6,C_0805_2012Metric,
1K @ 100MHz,L2,L_0805_2012Metric,
10K,R1,R_0805_2012Metric,
MountingHole_3.2mm_M3_Pad,H2,MountingHole_3.2mm_M3_Pad,
10K,R2,R_0805_2012Metric,
IRQDMA_JP,J1,PinHeader_2x09_P2.54mm_Vertical,
GY PCM5102,I2S_DAC1,GY-PCM5102,
1A 20V Schottky,D1,D_SOD-123F,
74LVC1G06,U9,SOT-23-5,
0.1uF,C8,C_0805_2012Metric,
74LVC244,U2,TSSOP-20_4.4x6.5mm_P0.65mm,
Conn_02x31_Top_Bottom,J2,PinHeader_2x31_P2.54mm_Vertical,
MountingHole_3.2mm_M3_Pad,H1,MountingHole_3.2mm_M3_Pad,
0.1uF,C5,C_0805_2012Metric,
33,R4,R_0805_2012Metric,
