Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,CP_Radial_D5.0mm_P2.00mm,204.1525,-73.662613,90.0,top
C2,47uF,CP_Radial_D5.0mm_P2.00mm,195.2625,-118.747613,90.0,top
C3,0.1uF,C_0805_2012Metric,157.165,-81.5975,90.0,top
C4,0.1uF,C_0805_2012Metric,154.432,-105.41,180.0,top
C5,0.1uF,C_0805_2012Metric,157.1625,-95.25,90.0,top
C6,0.1uF,C_0805_2012Metric,160.02,-65.72,90.0,top
C7,0.1uF,C_0805_2012Metric,151.765,-65.72,90.0,top
C8,0.1uF,C_0805_2012Metric,175.768,-67.945,90.0,top
C9,0.1uF,C_0805_2012Metric,171.196,-109.22,90.0,top
C10,1uF,C_0805_2012Metric,168.2115,-67.056,90.0,top
D1,1A 20V Schottky,D_SOD-123F,202.8825,-66.3575,-90.0,top
I2S_DAC1,GY PCM5102,GY-PCM5102,211.455,-102.5525,90.0,top
J1,IRQDMA_JP,PinHeader_2x09_P2.54mm_Vertical,140.6625,-119.7025,90.0,top
J2,Conn_02x31_Top_Bottom,PinHeader_2x31_P2.54mm_Vertical,195.2625,-123.5025,-90.0,top
J3,Bus_ISA_8bit,BUS_PC,157.1625,-132.0165,0.0,top
J5,SJ1-3535NG,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,217.16,-80.43,-90.0,top
J6,UART_TX,PinHeader_1x02_P2.54mm_Vertical,209.2375,-64.4525,-90.0,top
L1,1K @ 100MHz,L_0805_2012Metric,213.0425,-74.93,0.0,top
L2,1K @ 100MHz,L_0805_2012Metric,213.0425,-72.39,0.0,top
R1,10K,R_0805_2012Metric,146.685,-65.7225,90.0,top
R2,10K,R_0805_2012Metric,161.925,-97.155,-90.0,top
R3,10,R_0805_2012Metric,209.2325,-74.93,0.0,top
R4,33,R_0805_2012Metric,209.2325,-72.39,180.0,top
U1,Pico,RPi_Pico_SMD_TH,189.23,-87.63,0.0,top
U2,74LVC244,TSSOP-20_4.4x6.5mm_P0.65mm,154.305,-110.1725,0.0,top
U3,SN74CB3T3257,TSSOP-16_4.4x5mm_P0.65mm,154.305,-86.36,0.0,top
U4,SN74CB3T3257,TSSOP-16_4.4x5mm_P0.65mm,154.305,-100.0125,0.0,top
U5,74LVC14,SOIC-14_3.9x8.7mm_P1.27mm,149.225,-72.0725,0.0,top
U6,74LVC00,SOIC-14_3.9x8.7mm_P1.27mm,157.48,-72.0725,0.0,top
U7,74LVC1G00,SOT-23-5,155.8925,-65.7225,180.0,top
U8,APS6404L-3SQR-SN,SOIC-8_3.9x4.9mm_P1.27mm,171.958,-67.31,-90.0,top
U9,74LVC1G06,SOT-23-5,174.498,-109.474,180.0,top
